Disease,Medication,Adult_Medication,Pediatric_Medication,Diabetes_Medication,Hypertension_Medication,Heart_Medication,Kidney_Medication
Hypertension,"['Amlodipine 5mg', 'Losartan 50mg', 'Hydrochlorothiazide 12.5mg', 'Metoprolol 50mg', 'Ramipril 5mg']","['Amlodipine 5mg', 'Losartan 50mg', 'Hydrochlorothiazide 12.5mg', 'Metoprolol 50mg', 'Ramipril 5mg']","['Amlodipine 2.5mg', 'Losartan (weight-adjusted dose)', 'Hydrochlorothiazide (age-adjusted)']","['Amlodipine 5mg', 'Losartan 50mg', 'Hydrochlorothiazide 12.5mg', 'Ramipril 5mg']","['Amlodipine 5mg', 'Losartan 50mg', 'Hydrochlorothiazide 12.5mg', 'Ramipril 5mg']","['Amlodipine 5mg', 'Losartan 50mg', 'Metoprolol 50mg', 'Ramipril 5mg']","['Amlodipine 2.5-5mg', 'Avoid Losartan in severe CKD', 'Hydrochlorothiazide (adjusted dose)', 'Ramipril 2.5mg']"
Migraine,"['Sumatriptan 50mg', 'Paracetamol 500mg', 'Ibuprofen 400mg', 'Propranolol 40mg', 'Topiramate 25mg']","['Sumatriptan 50mg', 'Paracetamol 500mg', 'Ibuprofen 400mg', 'Propranolol 40mg', 'Topiramate 25mg']","['Paracetamol 250mg', 'Ibuprofen 200mg', 'Propranolol (weight adjusted)']","['Sumatriptan 50mg', 'Paracetamol 500mg', 'Ibuprofen 400mg']","['Sumatriptan 50mg', 'Paracetamol 500mg', 'Propranolol 40mg']","['Paracetamol 500mg', 'Propranolol 40mg'","['Paracetamol 250-500mg', 'Avoid Ibuprofen in severe CKD', 'Propranolol dose adjusted']"
Cervical spondylosis,"['NSAIDs (Ibuprofen 400mg)', 'Paracetamol 500mg', 'Muscle Relaxants (Cyclobenzaprine 10mg)', 'Gabapentin 300mg', 'Vitamin B Complex']","['Ibuprofen 400mg', 'Paracetamol 500mg', 'Cyclobenzaprine 10mg', 'Gabapentin 300mg', 'Vitamin B Complex']","['Ibuprofen 200mg', 'Paracetamol 250mg', 'Gabapentin (dose adjusted)', 'Vitamin B Complex']","['Paracetamol 500mg', 'Gabapentin 300mg']","['Ibuprofen 400mg (use cautiously)', 'Paracetamol 500mg']","['Paracetamol 500mg', 'Gabapentin 300mg']","['Paracetamol 250-500mg', 'Avoid NSAIDs in severe CKD', 'Gabapentin dose adjusted']"
Paralysis (brain hemorrhage),"['Mannitol 20%', 'Aspirin 75mg (if no active bleeding)', 'Clopidogrel 75mg', 'Antihypertensives', 'Physiotherapy']","['Mannitol 20%', 'Aspirin 75mg (if no active bleeding)', 'Clopidogrel 75mg', 'Antihypertensives', 'Physiotherapy']","['Mannitol (dose adjusted)', 'Aspirin (if no active bleeding)', 'Physiotherapy']","['Mannitol 20%', 'Antihypertensives']","['Antihypertensives', 'Aspirin (if no active bleeding)']","['Antihypertensives', 'Aspirin (if no active bleeding)']","['Mannitol (dose adjusted)', 'Avoid NSAIDs', 'Antihypertensives dose adjusted']"
Jaundice,"['Ursodeoxycholic Acid 300mg', 'Vitamin K', 'Lactulose', 'Multivitamins', 'Adequate Hydration']","['Ursodeoxycholic Acid 300mg', 'Vitamin K', 'Lactulose', 'Multivitamins', 'Adequate Hydration']","['Ursodeoxycholic Acid (dose adjusted)', 'Vitamin K', 'Lactulose syrup', 'Multivitamins']","['Ursodeoxycholic Acid 300mg', 'Vitamin K', 'Lactulose']","['Ursodeoxycholic Acid 300mg', 'Vitamin K']","['Ursodeoxycholic Acid 300mg', 'Vitamin K']","['Ursodeoxycholic Acid (dose adjusted)', 'Avoid hepatotoxic drugs']"
Malaria,"['Artemether-Lumefantrine (80/480mg)', 'Chloroquine 250mg', 'Primaquine 15mg', 'Paracetamol 500mg', 'Quinine 600mg']","['Artemether-Lumefantrine (80/480mg)', 'Chloroquine 250mg', 'Primaquine 15mg', 'Paracetamol 500mg']","['Artemether-Lumefantrine (weight adjusted)', 'Chloroquine syrup', 'Primaquine (dose adjusted)']","['Artemether-Lumefantrine', 'Paracetamol 500mg']","['Artemether-Lumefantrine', 'Paracetamol 500mg']",['Paracetamol 500mg'],"['Artemether-Lumefantrine (dose adjusted)', 'Avoid Primaquine in severe CKD']"
Chicken pox,"['Acyclovir 800mg', 'Paracetamol 500mg', 'Calamine lotion', 'Antihistamines (Cetirizine 10mg)', 'Fluids and Rest']","['Acyclovir 800mg', 'Paracetamol 500mg', 'Calamine lotion', 'Cetirizine 10mg', 'Fluids and Rest']","['Acyclovir (dose adjusted)', 'Paracetamol 250mg', 'Calamine lotion', 'Cetirizine syrup', 'Fluids and Rest']","['Acyclovir 800mg', 'Paracetamol 500mg']","['Acyclovir 800mg', 'Paracetamol 500mg']",['Paracetamol 500mg'],"['Acyclovir dose adjusted', 'Paracetamol 250-500mg']"
Dengue,"['Paracetamol 500mg', 'Oral Rehydration Solution (ORS)', 'Iv fluids as needed', 'Avoid NSAIDs and Aspirin', 'Rest']","['Paracetamol 500mg', 'ORS', 'IV fluids as needed', 'Rest']","['Paracetamol 250mg', 'ORS', 'IV fluids as needed', 'Rest']","['Paracetamol 500mg', 'ORS', 'Rest']","['Paracetamol 500mg', 'ORS', 'Rest']","['Paracetamol 500mg', 'ORS', 'Rest']","['Paracetamol dose adjusted', 'Avoid NSAIDs', 'ORS', 'Rest']"
Typhoid,"['Cefixime 200mg', 'Paracetamol 500mg', 'Doxycycline 100mg', 'Ofloxacin 200mg', 'Probiotics']","['Cefixime 200mg', 'Paracetamol 500mg', 'Doxycycline 100mg', 'Ofloxacin 200mg', 'Probiotics']","['Cefixime 100mg', 'Paracetamol 250mg', 'Doxycycline (dose adjusted)', 'Probiotics']","['Cefixime 200mg', 'Paracetamol 500mg', 'Doxycycline 100mg']","['Cefixime 200mg', 'Paracetamol 500mg', 'Doxycycline 100mg']","['Cefixime 200mg', 'Paracetamol 500mg']","['Cefixime dose adjusted', 'Paracetamol 250-500mg', 'Avoid Doxycycline in severe CKD']"
Hepatitis A,"['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins', 'Avoid hepatotoxic drugs']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Avoid hepatotoxic drugs']"
Hepatitis B,"['Antiviral drugs (Entecavir 0.5mg)', 'Tenofovir 300mg', 'Vitamin K', 'Multivitamins', 'Adequate Hydration', 'Avoid hepatotoxic drugs']","['Entecavir 0.5mg', 'Tenofovir 300mg', 'Vitamin K', 'Multivitamins', 'Adequate Hydration']","['Entecavir (dose adjusted)', 'Tenofovir (dose adjusted)', 'Vitamin K', 'Multivitamins']","['Entecavir 0.5mg', 'Tenofovir 300mg', 'Vitamin K']","'Entecavir 0.5mg', 'Tenofovir 300mg', 'Vitamin K']","['Entecavir 0.5mg', 'Tenofovir 300mg', 'Vitamin K']","['Entecavir dose adjusted', 'Tenofovir dose adjusted', 'Avoid hepatotoxic drugs']"
Hepatitis C,"'Direct-acting antivirals (Sofosbuvir 400mg, Ledipasvir 90mg)', 'Ribavirin 400mg', 'Vitamin K', 'Multivitamins', 'Adequate Hydration', 'Avoid hepatotoxic drugs']","['Sofosbuvir 400mg, Ledipasvir 90mg', 'Ribavirin 400mg', 'Vitamin K', 'Multivitamins', 'Adequate Hydration']","['Sofosbuvir (dose adjusted)', 'Ledipasvir (dose adjusted)', 'Ribavirin (dose adjusted)', 'Vitamin K', 'Multivitamins']","['Sofosbuvir 400mg, Ledipasvir 90mg', 'Ribavirin 400mg', 'Vitamin K']","['Sofosbuvir 400mg, Ledipasvir 90mg', 'Ribavirin 400mg', 'Vitamin K']","['Sofosbuvir 400mg, Ledipasvir 90mg', 'Ribavirin 400mg', 'Vitamin K']","['Sofosbuvir dose adjusted', 'Ribavirin dose adjusted', 'Avoid hepatotoxic drugs']"
Hepatitis D,"['Pegylated Interferon Alpha 180mcg', 'Antiviral drugs (as per Hepatitis B treatment)', 'Vitamin K', 'Multivitamins', 'Adequate Hydration', 'Avoid hepatotoxic drugs']","['Pegylated Interferon Alpha 180mcg', 'Antiviral drugs as per Hepatitis B', 'Vitamin K', 'Multivitamins', 'Adequate Hydration']","['Pegylated Interferon Alpha (dose adjusted)', 'Antivirals as per Hepatitis B', 'Vitamin K', 'Multivitamins']","['Pegylated Interferon Alpha 180mcg', 'Vitamin K']","['Pegylated Interferon Alpha 180mcg', 'Vitamin K']","['Pegylated Interferon Alpha 180mcg', 'Vitamin K']","['Pegylated Interferon Alpha dose adjusted', 'Avoid hepatotoxic drugs']"
Hepatitis E,"['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins', 'Avoid hepatotoxic drugs']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Vitamin K', 'Multivitamins']","['Rest', 'Adequate Hydration', 'Avoid hepatotoxic drugs']"
Alcoholic hepatitis,"['Prednisolone 40mg', 'Pentoxifylline 400mg', 'Vitamin K', 'Multivitamins', 'Abstinence from alcohol', 'Supportive care']","['Prednisolone 40mg', 'Pentoxifylline 400mg', 'Vitamin K', 'Multivitamins', 'Abstinence from alcohol']","['Dose adjustment or avoid steroids', 'Vitamin K', 'Multivitamins', 'Abstinence from alcohol']","['Prednisolone (use cautiously)', 'Vitamin K', 'Multivitamins']","['Prednisolone (use cautiously)', 'Vitamin K', 'Multivitamins']","['Prednisolone (use cautiously)', 'Vitamin K', 'Multivitamins']","['Avoid nephrotoxic drugs', 'Dose adjustment of steroids', 'Vitamin K']"
Tuberculosis,"['Isoniazid 300mg', 'Rifampicin 600mg', 'Ethambutol 800mg', 'Pyrazinamide 1500mg', 'Pyridoxine 10mg']","['Isoniazid 300mg', 'Rifampicin 600mg', 'Ethambutol 800mg', 'Pyrazinamide 1500mg', 'Pyridoxine 10mg']","['Isoniazid (dose adjusted)', 'Rifampicin (dose adjusted)', 'Ethambutol (dose adjusted)', 'Pyrazinamide (dose adjusted)', 'Pyridoxine']","['Isoniazid 300mg', 'Rifampicin 600mg', 'Pyridoxine 10mg']","['Isoniazid 300mg', 'Rifampicin 600mg', 'Pyridoxine 10mg']","['Isoniazid 300mg', 'Rifampicin 600mg', 'Pyridoxine 10mg']","['Isoniazid dose adjusted', 'Avoid nephrotoxic drugs', 'Pyridoxine supplementation']"
Common Cold,"['Paracetamol 500mg', 'Cetirizine 10mg', 'Saline Nasal Spray', 'Steam Inhalation', 'Fluids and Rest']","['Paracetamol 500mg', 'Cetirizine 10mg', 'Saline Nasal Spray', 'Steam Inhalation', 'Fluids and Rest']","['Paracetamol (weight adjusted)', 'Cetirizine syrup', 'Saline Nasal Spray', 'Steam Inhalation', 'Fluids and Rest']","['Paracetamol 500mg', 'Cetirizine 10mg', 'Fluids and Rest']","['Paracetamol 500mg', 'Cetirizine 10mg', 'Fluids and Rest']","'Paracetamol 500mg', 'Cetirizine 10mg', 'Fluids and Rest']","['Paracetamol dose adjusted', 'Avoid excessive NSAIDs', 'Saline Nasal Spray']"
Pneumonia,"['Amoxicillin 500mg', 'Clarithromycin 500mg', 'Levofloxacin 500mg', 'Paracetamol 500mg', 'Fluids and Rest']","['Amoxicillin 500mg', 'Clarithromycin 500mg', 'Levofloxacin 500mg', 'Paracetamol 500mg', 'Fluids and Rest']","['Amoxicillin (dose adjusted)', 'Clarithromycin (dose adjusted)', 'Paracetamol (weight adjusted)', 'Fluids and Rest']","['Amoxicillin 500mg', 'Clarithromycin 500mg', 'Paracetamol 500mg']","['Amoxicillin 500mg', 'Clarithromycin 500mg', 'Paracetamol 500mg']","'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Paracetamol 500mg']","['Amoxicillin dose adjusted', 'Avoid nephrotoxic drugs', 'Paracetamol dose adjusted']"
Dimorphic hemmorhoids(piles),"['Daflon 500mg', 'Lidocaine gel', 'Hydrocortisone suppositories', 'Paracetamol 500mg', 'Sitz bath']","['Daflon 500mg', 'Lidocaine gel', 'Hydrocortisone suppositories', 'Paracetamol 500mg', 'Sitz bath']","['Lidocaine gel', 'Hydrocortisone suppositories (dose adjusted)', 'Paracetamol (weight adjusted)', 'Sitz bath']","['Daflon 500mg', 'Lidocaine gel', 'Hydrocortisone suppositories']","['Daflon 500mg', 'Lidocaine gel', 'Hydrocortisone suppositories']","['Daflon 500mg', 'Lidocaine gel', 'Hydrocortisone suppositories']","['Daflon dose adjusted', 'Lidocaine gel', 'Avoid hydrocortisone in severe CKD']"
Heart attack,"['Aspirin 300mg', 'Clopidogrel 75mg', 'Atorvastatin 40mg', 'Nitroglycerin 0.5mg', 'Enoxaparin 40mg']","['Aspirin 300mg', 'Clopidogrel 75mg', 'Atorvastatin 40mg', 'Nitroglycerin 0.5mg', 'Enoxaparin 40mg']",['Not typically applicable; pediatric cases require specialized care'],"['Aspirin 75-150mg', 'Clopidogrel 75mg', 'Atorvastatin 20-40mg']","['Aspirin 75-150mg', 'Clopidogrel 75mg', 'Atorvastatin 20-40mg']","['Aspirin 75-150mg', 'Clopidogrel 75mg', 'Atorvastatin 20-40mg']","['Dose adjustments for Aspirin and Clopidogrel', 'Avoid nephrotoxic drugs', 'Monitor statin use']"
Varicose veins,"['Daflon 500mg', 'Rutoside 50mg', 'Horse Chestnut Extract', 'Compression stockings', 'Pain relief (Paracetamol 500mg)']","['Daflon 500mg', 'Rutoside 50mg', 'Horse Chestnut Extract', 'Compression stockings', 'Paracetamol 500mg']","['Rutoside (dose adjusted)', 'Compression stockings', 'Paracetamol (weight adjusted)']","['Daflon 500mg', 'Rutoside 50mg', 'Compression stockings']","['Daflon 500mg', 'Rutoside 50mg', 'Compression stockings']","['Daflon 500mg', 'Rutoside 50mg', 'Compression stockings']","['Daflon dose adjusted', 'Rutoside dose adjusted', 'Avoid nephrotoxic painkillers']"
Hypothyroidism,"['Levothyroxine 50-150mcg', 'Vitamin D supplements', 'Calcium supplements', 'Balanced diet', 'Regular exercise']","['Levothyroxine 50-150mcg', 'Vitamin D supplements', 'Calcium supplements', 'Balanced diet', 'Regular exercise']","['Levothyroxine (dose adjusted based on weight)', 'Vitamin D drops', 'Balanced diet']","['Levothyroxine 50-150mcg', 'Vitamin D supplements', 'Calcium supplements']","['Levothyroxine 50-150mcg', 'Vitamin D supplements', 'Calcium supplements']","['Levothyroxine 50-150mcg', 'Vitamin D supplements', 'Calcium supplements']","['Levothyroxine dose adjusted', 'Vitamin D supplements', 'Avoid excessive calcium supplements']"
Hyperthyroidism,"['Methimazole 5-30mg', 'Propranolol 10-40mg', 'Carbimazole 5-15mg', 'Iodine solution (Lugol’s iodine)', 'Vitamin D and Calcium supplements']","['Methimazole 5-30mg', 'Propranolol 10-40mg', 'Carbimazole 5-15mg', 'Iodine solution', 'Vitamin D and Calcium supplements']","['Methimazole (dose adjusted)', 'Propranolol (dose adjusted)', 'Iodine solution', 'Vitamin D drops']","['Methimazole 5-30mg', 'Propranolol 10-40mg']","['Methimazole 5-30mg', 'Propranolol 10-40mg']","['Methimazole 5-30mg', 'Propranolol 10-40mg']","['Methimazole dose adjusted', 'Propranolol dose adjusted', 'Avoid excessive iodine']"
Hypoglycemia,"['Glucose tablets', 'Dextrose 25%-50% IV', 'Glucagon 1mg IM/SC', 'Oral sugar (juice/honey)', 'Balanced diet']","['Glucose tablets', 'Dextrose 25%-50% IV', 'Glucagon 1mg IM/SC', 'Oral sugar (juice/honey)', 'Balanced diet']","['Glucose gel', 'Dextrose IV (dose adjusted)', 'Glucagon (weight adjusted)', 'Oral sugar (juice/honey)', 'Balanced diet']","['Glucose tablets', 'Dextrose 25%-50% IV', 'Glucagon 1mg IM/SC']","['Glucose tablets', 'Dextrose 25%-50% IV', 'Glucagon 1mg IM/SC']","['Glucose tablets', 'Dextrose 25%-50% IV', 'Glucagon 1mg IM/SC']","['Dextrose IV (dose adjusted)', 'Monitor glucose levels', 'Avoid nephrotoxic drugs']"
Osteoarthristis,"['Paracetamol 500-1000mg', 'Ibuprofen 400-600mg', 'Glucosamine 1500mg', 'Chondroitin 1200mg', 'Topical NSAIDs', 'Physical therapy']","['Paracetamol 500-1000mg', 'Ibuprofen 400-600mg', 'Glucosamine 1500mg', 'Chondroitin 1200mg', 'Topical NSAIDs', 'Physical therapy']","['Paracetamol (weight adjusted)', 'Topical NSAIDs', 'Physical therapy']","['Paracetamol 500-1000mg', 'Glucosamine 1500mg', 'Chondroitin 1200mg']","['Paracetamol 500-1000mg', 'Glucosamine 1500mg', 'Chondroitin 1200mg']","['Paracetamol 500-1000mg', 'Glucosamine 1500mg', 'Chondroitin 1200mg']","['Paracetamol dose adjusted', 'Topical NSAIDs', 'Avoid high-dose systemic NSAIDs']"
Arthritis,"['Paracetamol 500-1000mg', 'Ibuprofen 400-600mg', 'Methotrexate 7.5-25mg weekly', 'Sulfasalazine 500-1000mg', 'Topical NSAIDs', 'Physical therapy']","['Paracetamol 500-1000mg', 'Ibuprofen 400-600mg', 'Methotrexate 7.5-25mg weekly', 'Sulfasalazine 500-1000mg', 'Topical NSAIDs', 'Physical therapy']","['Paracetamol (weight adjusted)', 'Topical NSAIDs', 'Physical therapy', 'Methotrexate (dose adjusted)']","['Paracetamol 500-1000mg', 'Methotrexate 7.5-25mg weekly', 'Sulfasalazine 500-1000mg']","['Paracetamol 500-1000mg', 'Methotrexate 7.5-25mg weekly', 'Sulfasalazine 500-1000mg']","['Paracetamol 500-1000mg', 'Methotrexate 7.5-25mg weekly', 'Sulfasalazine 500-1000mg']","['Paracetamol dose adjusted', 'Avoid nephrotoxic drugs', 'Monitor Methotrexate levels']"
